Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Dwight Powell,C,DAL,vs BKN,3rd,115.00,5100,11.4,42.9,20.9,1.5,0.80,28.85,10.82,9.02,9.02,11.8,5.3,26.1,30.00,24.88,24.88,100,,57,4.9,Y,23,13.70,2.7
DeAndre Jordan,C,BKN,@ DAL,5th,108.00,5100,11.7,47.4,26.3,2.1,1.24,44.66,10.97,10.21,6.93,13.8,5.0,21.2,22.75,27.00,27.00,100,,61,5.3,Y,22,25.00,4.9
Brandon Clarke,PF,MEM,@ SAC,2nd,110.25,5100,13.9,41.9,24.7,1.4,1.15,41.38,10.82,8.01,6.99,19.9,8.6,21.5,23.25,25.91,25.91,100,,68,5.1,,20,18.70,3.7
Miles Bridges,SF,CHA,@ CLE,29th,105.00,5000,8.9,39.9,23.7,1.8,0.78,27.94,9.08,8.84,7.19,18.5,10.7,30.5,28.50,22.18,22.18,100,,63,4.4,Y,23,13.50,2.7
Jeremy Lamb,SG,IND,vs DEN,3rd,103.75,5000,14,41,27.1,2.6,0.90,32.54,7.23,7.69,5.92,20.5,11.4,30.0,29.50,25.57,25.57,100,,72,5.1,Y,37,43.20,8.6
Goran Dragic,PG,MIA,vs TOR,8th,109.50,5000,15.7,43.4,27.4,5.0,0.96,34.49,8.64,7.93,6.96,24.4,12.1,28.6,29.00,27.55,27.55,100,,71,5.5,,22,18.90,3.8
Shabazz Napier,PG,MIN,vs GSW,12th,106.75,5000,13.1,50.3,19.8,3.9,0.97,34.91,12.85,10.61,10.98,20.7,8.1,20.4,30.75,29.06,29.06,100,,46,5.8,Y,33,39.10,7.8
Jeff Teague,PG,MIN,vs GSW,12th,106.75,5000,0,21.1,28.0,6.3,0.96,34.73,10.66,10.53,0,20.3,9.9,29.1,0.00,0.00,0.00,100,,62,0,,,,
Caris LeVert,SG,BKN,@ DAL,22nd,108.00,5000,0,15.3,27.7,4.0,0.88,31.67,5.18,7.64,0,25.4,15.6,31.4,0.00,0.00,0.00,100,,72,0,,,,
Tim Hardaway Jr.,SF,DAL,vs BKN,20th,115.00,5000,0,20.9,20.5,1.7,0.80,28.95,11.18,10.44,0,22.0,11.4,25.5,0.00,0.00,0.00,100,,49,0,,,,
Marc Gasol,C,TOR,@ MIA,7th,104.50,4900,0,20.5,24.2,3.4,0.86,30.91,11.09,10.25,0,12.1,6.4,28.1,0.00,0.00,0.00,100,,58,0,,,,
Norman Powell,SG,TOR,@ MIA,29th,104.50,4900,0,21.9,24.6,1.7,0.85,30.52,10.43,10.93,0,19.4,10.5,29.0,0.00,0.00,0.00,100,,56,0,,,,
OG Anunoby,SF,TOR,@ MIA,9th,104.50,4900,5.8,47.4,24.8,1.6,0.84,30.11,11.77,11.90,9.4,16.1,8.8,29.6,28.75,23.64,23.64,100,,52,4.8,Y,37,34.90,7.1
Delon Wright,SG,DAL,vs BKN,30th,115.00,4900,7.2,46.3,21.6,3.3,1.04,37.54,15.85,11.17,10.24,14.6,5.9,20.7,23.25,23.97,23.97,100,,48,4.9,,18,15.10,3.1
Nemanja Bjelica,PF,SAC,vs MEM,18th,114.25,4900,14.6,48.3,25.7,2.6,0.97,34.72,8.99,9.61,7.49,18.7,9.5,26.6,30.00,29.06,29.06,100,,63,5.9,Y,28,21.00,4.3
