Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Sam Steel,1,,C,3600,ANH,SJ,2,L2,P2,2.76,15.2,14.9,14.9,1.0,0.9,0.9,3.5,4.2,4.2,0.0,8.4,6.3,1.8,3.2,0.9
Alexander Wennberg,1,,C,3600,FLA,NSH,0,L2,P2,3.15,17.8,17.5,17.5,1.4,1.3,1.3,4.8,5.1,5.1,0.9,9.3,5.6,1.6,1.6,0.4
Sean Kuraly,,,C,3600,BOS,@PHI,1,L4,,2.95,13.3,13.8,13.8,2.2,1.7,1.7,7.5,5.4,5.4,1.3,9.4,4.9,1.4,15.2,4.2
Nicolas Hague,,,D,3600,VGK,LA,7,D2,,3.57,13.6,13.6,13.6,1.3,1.3,1.3,5.2,5.2,5.2,0.6,9.8,5.0,1.4,36.0,10.0
Phil Myers,,,D,3600,PHI,BOS,1,,,2.55,18.4,19.1,19.1,1.2,1.1,1.1,7.0,5.5,5.5,0.7,10.3,0.0,0.0,0.0,0.0
Danton Heinen,1,,W,3600,ANH,SJ,2,L2,,2.76,14.5,14.4,14.4,1.8,2.0,2.0,11.8,8.8,8.8,2.9,14.8,6.6,1.8,3.2,0.9
Fredrik Claesson,,,D,3600,NJ,@ANH,n/a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kale Clague,,,D,3600,LA,@VGK,2,D2,P2,2.43,18.6,17.6,17.6,1.2,1.4,1.4,6.7,6.2,6.2,2.3,10.0,5.1,1.4,8.0,2.2
Kurtis MacDermid,,,D,3600,LA,@VGK,2,D2,,2.43,14.0,13.5,13.5,0.8,1.0,1.0,6.6,6.7,6.7,0.4,13.1,4.0,1.1,4.8,1.3
Radim Simek,1,,D,3600,SJ,@ANH,7,D3,,2.74,12.2,12.3,12.3,0.6,0.5,0.5,3.2,4.3,4.3,0.8,7.7,4.5,1.3,1.6,0.4
Olli Maatta,1,,D,3600,LA,@VGK,2,D3,,2.43,18.0,18.0,18.0,1.6,1.6,1.6,3.5,3.5,3.5,0.7,6.4,6.0,1.7,14.4,4.0
Derek Grant,,Q,C,3600,ANH,SJ,2,,,2.76,16.3,15.9,15.9,1.0,1.1,1.1,7.4,6.2,6.2,1.8,10.6,0.0,0.0,25.6,7.1
Blake Lizotte,,D,C,3600,LA,@VGK,2,,,2.43,12.8,13.3,13.3,1.2,1.3,1.3,4.6,5.6,5.6,-1.4,12.6,0.0,0.0,0.0,0.0
Cal Foote,1,,D,3600,TB,DET,1,L4,,3.52,11.0,10.2,10.2,0.8,0.7,0.7,4.6,3.9,3.9,-2.2,9.9,5.4,1.5,1.6,0.4
Jeremy Lauzon,,,D,3600,BOS,@PHI,1,D1,,2.95,20.2,19.8,19.8,1.4,1.6,1.6,5.8,6.2,6.2,1.2,11.3,0.0,0.0,6.4,1.8
Marc-Edouard Vlasic,1,,D,3600,SJ,@ANH,7,D1,,2.74,21.8,22.3,22.3,1.2,0.9,0.9,4.2,4.0,4.0,0.9,7.1,5.4,1.5,6.4,1.8
Dante Fabbro,,,D,3600,NSH,@FLA,0,D2,,2.85,18.9,18.3,18.3,1.6,1.8,1.8,4.8,6.7,6.7,3.6,9.8,5.7,1.6,4.8,1.3
Anton Stralman,,,D,3600,FLA,NSH,0,D2,P2,3.15,22.2,21.2,21.2,1.0,0.9,0.9,4.8,5.5,5.5,1.0,10.0,5.4,1.5,3.2,0.9
Troy Stecher,1,,D,3600,DET,@TB,1,D2,,1.98,19.2,18.7,18.7,1.0,1.1,1.1,5.1,4.5,4.5,1.4,7.6,4.9,1.4,0.0,0.0
Chandler Stephenson,,,C,3600,VGK,LA,7,,,3.57,16.0,16.2,16.2,0.8,0.9,0.9,7.2,7.0,7.0,0.2,13.8,0.0,0.0,3.2,0.9
Luke Schenn,,,D,3600,TB,DET,1,D3,,3.52,12.0,11.2,11.2,0.6,0.8,0.8,4.5,4.5,4.5,1.1,8.0,3.9,1.1,0.0,0.0
Carl Dahlstrom,,,D,3500,VGK,LA,7,,,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Massie,,,D,3500,,@FLA,n/a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Welinski,,,D,3500,ANH,SJ,2,,,2.76,11.7,11.7,11.7,0.7,0.7,0.7,2.7,2.7,2.7,0.2,5.1,0.0,0.0,0.0,0.0
Connor Clifton,1,,D,3500,BOS,@PHI,1,D2,,2.95,17.4,17.4,17.4,1.0,1.0,1.0,3.5,3.5,3.5,0.9,6.1,4.2,1.2,6.4,1.8
Brayden Pachal,,,D,3500,VGK,LA,7,,,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Meloche,,,D,3500,SJ,@ANH,7,,,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yegor Zamula,,,D,3500,PHI,BOS,1,,,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyatte Wylie,,,D,3500,PHI,BOS,1,,,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urho Vaakanainen,,,D,3500,BOS,@PHI,1,,,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared McIsaac,,D,D,3500,DET,@TB,1,,,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon Benoit,,,D,3500,ANH,SJ,2,,,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Corcoran,,,D,3500,VGK,LA,7,,,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gustav Lindstrom,,,D,3500,DET,@TB,1,,,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Durzi,,,D,3500,LA,@VGK,2,,,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Whitecloud,,,D,3500,VGK,LA,7,,,3.57,17.7,19.0,19.0,1.2,1.7,1.7,5.1,5.5,5.5,2.3,8.7,0.0,0.0,1.6,0.5
Austin Strand,,,D,3500,LA,@VGK,2,,,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Davies,,,D,3500,NSH,@FLA,0,,,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Merkley,,,D,3500,,@ANH,n/a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Markus Nutivaara,,,D,3500,FLA,NSH,0,,,3.15,15.2,15.2,15.2,0.3,0.3,0.3,7.2,7.2,7.2,2.4,12.0,0.0,0.0,0.0,0.0
Daniel Brickley,,,D,3500,WPG,@VGK,n/a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Prow,,,D,3500,FLA,NSH,0,,,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Priskie,,,D,3500,FLA,NSH,0,,,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Cholowski,,,D,3500,DET,@TB,1,,,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Moverare,,,D,3500,LA,@VGK,2,,,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobias Bjornfot,,,D,3500,LA,@VGK,2,,,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick DeSimone,,,D,3500,SJ,@ANH,7,,,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Borgman,,,D,3500,TB,DET,1,,,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Mahura,,,D,3500,ANH,SJ,2,,,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Day,,,D,3500,TB,DET,1,,,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Jaros,,,D,3500,OTT,@ANH,n/a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Millman,,,D,3500,PHI,BOS,1,,,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
