Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Evan Engram,1,,TE,5600,NYG,@LAR,17.5,LAR by 13,1%,2%,13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,6.7,6.7,6.4,1.0,4.8,11,5.0,5.0,5.0,1.1,9.0,8.7,1.6,6.5,1.2
CeeDee Lamb,8,,WR,5600,DAL,CLE,30.3,DAL by 4.5,-5%,24%,-6%,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.0,5.0,7.0,7.0,6.3,0.7,11.0,10,10.7,10.7,10.7,7.3,14.0,10.5,1.9,22.7,4.1
Keelan Cole,0,,WR,5600,JAX,@CIN,23.3,CIN by 3,2%,31%,-4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,5.7,5.7,5.3,0.3,8.7,8,11.4,11.4,11.4,6.9,16.0,8.5,1.5,6.6,1.2
Antonio Gibson,0,,RB,5500,WAS,BAL,16.0,BAL by 13,-13%,-12%,-22%,0.0,0.0,0.0,0.0,0.0,10.3,10.3,11.6,1.7,4.5,2.3,2.3,2.8,0.0,2.3,24,9.5,9.5,9.5,6.0,13.1,9.4,1.7,20.8,3.8
Preston Williams,0,,WR,5500,MIA,SEA,23.0,SEA by 6.5,27%,2%,23%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,4.7,7.0,1.0,5.3,11,6.0,6.0,6.0,4.5,7.5,9.3,1.7,4.0,0.7
Darius Slayton,0,,WR,5500,NYG,@LAR,17.5,LAR by 13,1%,2%,2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,7.3,7.1,1.3,8.5,12,11.6,11.6,11.6,-0.2,23.4,9.9,1.8,6.3,1.1
Corey Davis,,,WR,5500,TEN,PIT,22.5,PIT by 2,-23%,-19%,-16%,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,6.3,6.3,,0.3,10.8,,11.4,11.4,11.4,9.3,13.5,0.0,0.0,0.0,0.0
Anthony Miller,0,,WR,5500,CHI,IND,20.5,IND by 2.5,-3%,-18%,9%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,9.0,4.7,4.7,6.0,1.3,8.4,10,9.2,9.2,9.2,1.0,17.4,7.8,1.4,3.1,0.6
Adrian Peterson,0,,RB,5500,DET,NO,25.0,NO by 4,-1%,-26%,-18%,0.0,0.0,0.0,0.0,0.0,14.3,14.3,13.2,3.0,4.9,1.3,1.3,0.7,0.0,7.8,22,8.7,8.7,8.7,4.3,13.1,8.4,1.5,9.6,1.7
Alexander Mattison,0,,RB,5500,MIN,@HOU,24.8,HOU by 5,7%,19%,23%,0.0,0.0,0.0,0.0,0.0,5.7,5.7,7.2,1.3,5.3,2.0,2.0,1.0,0.0,5.5,13,4.9,4.9,4.9,0.5,9.3,6.7,1.2,7.7,1.4
Leonard Fournette,,Q,RB,5500,TB,LAC,24.8,TB by 7,-17%,-3%,1%,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,1.7,5.1,2.7,2.7,0.0,0.7,4.3,0,10.4,10.4,10.4,-2.8,23.6,0.0,0.0,0.0,0.0
Sterling Shepard,,O,WR,5400,NYG,@LAR,17.5,LAR by 13,1%,2%,2%,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,5.0,5.0,0.0,0.5,7.6,0,6.1,6.1,6.1,3.8,8.4,0.0,0.0,0.0,0.0
T.J. Hockenson,10,,TE,5400,DET,NO,25.0,NO by 4,-1%,-26%,15%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,6.6,0.7,10.7,10,9.9,9.9,9.9,6.2,13.6,9.6,1.8,9.9,1.8
Cam Akers,,Q,RB,5400,LAR,NYG,30.5,LAR by 13,5%,-3%,6%,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.0,1.0,3.1,0.5,0.5,0.0,0.0,4.0,0,3.1,3.1,3.1,0.6,5.5,0.0,0.0,0.0,0.0
Christian Kirk,0,,WR,5400,ARI,@CAR,27.3,ARI by 3,6%,24%,7%,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.0,3.0,4.5,4.5,5.8,0.0,6.3,10,3.8,3.8,3.8,-0.8,8.3,7.8,1.4,9.4,1.7
Justin Jefferson,3,,WR,5400,MIN,@HOU,24.8,HOU by 5,7%,19%,-2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.5,0.3,16.3,11,12.2,12.2,12.2,-0.7,25.1,10.1,1.9,12.3,2.3
Randall Cobb,3,,WR,5400,HOU,MIN,29.8,HOU by 5,5%,1%,16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.3,4.3,5.6,0.3,13.6,10,9.7,9.7,9.7,2.5,16.9,8.7,1.6,4.6,0.9
Devonta Freeman,0,,RB,5400,NYG,@LAR,17.5,LAR by 13,1%,2%,-1%,0.0,0.0,0.0,0.0,0.0,5.0,5.0,9.9,0.0,2.0,0.0,0.0,2.4,0.0,0.0,21,1.0,1.0,1.0,1.0,1.0,8.0,1.5,8.8,1.6
Myles Gaskin,0,,RB,5400,MIA,SEA,23.0,SEA by 6.5,27%,2%,-2%,0.0,0.0,0.0,0.0,0.0,12.7,12.7,12.1,3.7,4.0,5.3,5.3,4.8,0.0,5.7,26,10.6,10.6,10.6,8.8,12.4,11.4,2.1,7.7,1.4
Golden Tate,0,,WR,5300,NYG,@LAR,17.5,LAR by 13,1%,2%,2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,6.0,6.0,7.1,0.5,6.9,13,6.7,6.7,6.7,5.9,7.4,9.2,1.7,4.0,0.8
Mo Alie-Cox,1,,TE,5300,IND,@CHI,23.0,IND by 2.5,-6%,-3%,2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.7,3.3,0.7,16.5,5,9.7,9.7,9.7,3.9,15.5,5.9,1.1,7.8,1.5
Joshua Kelley,0,,RB,5300,LAC,@TB,17.8,TB by 7,13%,-36%,-23%,0.0,0.0,0.0,0.0,0.0,14.3,14.3,10.8,3.3,3.9,1.7,1.7,0.6,0.0,11.6,18,9.5,9.5,9.5,4.9,14.1,6.9,1.3,2.8,0.5
Brandin Cooks,5,,WR,5300,HOU,MIN,29.8,HOU by 5,5%,1%,16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,6.0,6.0,5.9,0.3,7.7,10,6.3,6.3,6.3,1.3,11.2,9.6,1.8,0.0,0.0
Jimmy Graham,1,,TE,5300,CHI,IND,20.5,IND by 2.5,-3%,-18%,-25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.8,2.7,5.7,9,11.1,11.1,11.1,1.7,20.5,7.1,1.3,5.3,1.0
D'Andre Swift,0,,RB,5300,DET,NO,25.0,NO by 4,-1%,-26%,-18%,0.0,0.0,0.0,0.0,0.0,2.7,2.7,2.5,0.7,2.5,4.0,4.0,3.1,0.3,7.8,9,7.3,7.3,7.3,3.1,11.5,6.6,1.2,13.2,2.5
Henry Ruggs III,,Q,WR,5300,LV,BUF,25.0,BUF by 3,-12%,-8%,-11%,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.5,4.0,4.0,0.0,0.0,7.4,0,4.5,4.5,4.5,-0.6,9.6,0.0,0.0,0.0,0.0
Hunter Renfrow,3,,WR,5300,LV,BUF,25.0,BUF by 3,-12%,-8%,-11%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,4.7,6.8,1.0,10.1,11,8.6,8.6,8.6,0.8,16.3,9.8,1.8,8.2,1.5
