Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Bogdan Bogdanovic,,O,SF,3600,ATL,@POR,6,115,19,10,103,111,-6%,6,6,9,15,19,24,9.9,18.0,7.4,28.7,0.0,0.0,0.0,,0.0,0.0
Zach Collins,,O,PF,3600,POR,ATL,n/a,120,,,103,108,12%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Maurice Harkless,,,SF,3600,MIA,DET,6,112,,,101,111,7%,1,0,1,7,5,8,0.3,1.4,-1.6,4.5,0.0,0.0,0.0,0,0.0,0.0
Frank Jackson,,O,PG,3600,DET,@MIA,2,106,,,104,109,2%,3,3,3,7,8,8,6.1,6.1,0.7,11.5,0.0,0.0,0.0,,0.0,0.0
Avery Bradley,,O,SG,3600,MIA,DET,1,112,16,13,101,111,6%,6,7,7,21,21,23,15.1,17.1,12.0,22.2,0.0,0.0,0.0,,0.0,0.0
Chris Silva,,,PF,3600,MIA,DET,1,112,,,101,111,-2%,4,2,2,19,10,10,10.1,10.1,0.6,19.5,0.0,0.0,0.0,4.9,4.2,1.2
Tony Snell,,,SG,3600,ATL,@POR,0,115,,,103,111,-6%,3,3,3,8,8,8,2.1,2.1,-0.9,5.1,10.5,5.1,1.4,12.4,11.1,3.1
Paul Reed,,,SF,3600,PHI,@MEM,1,111,,,103,104,-3%,5,5,5,12,13,13,10.6,10.6,0.1,21.2,0.0,0.0,0.0,0,0.0,0.0
Skylar Mays,,,SG,3500,ATL,@POR,4,115,,,103,111,13%,1,1,1,3,4,4,0.5,0.5,-0.4,1.4,0.0,0.0,0.0,0,0.0,0.0
Jontay Porter,,O,SF,3500,MEM,PHI,14,112,,,105,105,-11%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Sean McDermott,,,SF,3500,MEM,PHI,2,112,,,105,105,3%,2,2,2,10,14,14,4.0,4.0,-0.9,9.0,0.0,0.0,0.0,0,0.0,0.0
