Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Jayson Tatum,PF,BOS,vs DEN,9th,104.25,8200,23.4,54.4,37.9,2.8,1.10,39.52,9.25,8.86,8.86,27.9,18.7,34.6,34.50,36.69,36.69,100,,77,4.5,Y,30,43.90,5.4
Nikola Vucevic,C,ORL,@ CLE,26th,107.00,8100,0,23.1,39.8,3.5,1.29,46.47,11.04,11.56,0,25.1,15.1,30.9,0.00,0.00,0.00,100,,71,0,,,,
Malcolm Brogdon,PG,IND,@ DET,17th,106.50,8100,22.4,59.3,37.2,7.9,1.17,42.17,8.46,10.54,7.81,26.2,14.8,31.7,33.25,38.22,38.22,100,,72,4.7,Y,32,34.50,4.3
Kemba Walker,PG,BOS,vs DEN,8th,104.25,8100,19.4,61.8,37.3,5.1,1.16,41.71,12.15,12.11,11.31,27.6,17.3,32.2,33.50,37.55,37.55,100,,68,4.6,Y,29,33.90,4.2
Kevin Love,PF,CLE,vs ORL,17th,103.00,8000,0,23.3,34.3,2.8,1.11,40.00,10.21,11.65,0,22.6,11.4,30.9,0.00,0.00,0.00,100,,66,0,,,,
Wendell Carter Jr.,C,CHI,vs GSW,17th,109.00,8000,19.3,51.4,29.0,0.9,0.99,35.55,9.09,9.16,8.52,17.2,8.6,29.4,33.75,33.03,33.03,100,,68,4.1,Y,35,27.40,3.4
D'Angelo Russell,SG,GSW,@ CHI,1st,105.00,8000,5.8,70.1,37.6,6.3,1.22,43.98,14.70,18.36,11.54,31.5,18.3,30.8,28.25,33.38,33.38,100,,51,4.2,Y,29,18.90,2.4
Andrew Wiggins,SG,MIN,@ OKC,15th,107.50,8000,0,20,40.3,3.4,1.16,41.79,9.37,10.02,0,29.2,20.6,34.7,0.00,0.00,0.00,100,,75,0,,,,
Buddy Hield,SG,SAC,@ SAS,11th,105.50,8000,16.7,56.7,31.8,2.7,0.93,33.57,9.75,11.42,9.61,27.9,18.1,34.1,35.50,33.87,33.87,100,,64,4.2,Y,39,32.40,4.1
Hassan Whiteside,C,POR,vs LAL,2nd,110.50,8000,21.3,58.9,37.8,1.2,1.36,48.92,12.05,10.73,9.62,21.5,10.4,27.8,28.75,37.40,37.40,100,,72,4.7,Y,32,43.00,5.4
Victor Oladipo,SG,IND,@ DET,17th,106.50,7800,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Bam Adebayo,PF,MIA,vs WAS,19th,118.75,7800,26.2,61.6,37.2,4.0,1.14,41.08,9.16,10.13,8.97,19.1,9.0,32.6,35.25,41.37,41.37,100,,73,5.3,Y,37,50.80,6.5
LaMarcus Aldridge,PF,SAS,vs SAC,4th,109.50,7800,17.9,57.4,36.3,2.5,1.11,39.89,12.05,11.29,10.71,23.2,14.8,32.8,32.00,34.83,34.83,100,,69,4.5,Y,35,38.10,4.9
De'Aaron Fox,PG,SAC,@ SAS,19th,105.50,7700,0,20.4,33.2,6.9,1.03,37.27,8.23,10.20,0,28.4,14.2,32.1,0.00,0.00,0.00,100,,69,0,,,,
Montrezl Harrell,C,LAC,@ MIL,30th,114.75,7600,18.1,61.4,36.3,2.2,1.22,44.06,13.41,12.37,11.27,24.3,13.2,29.7,30.25,36.69,36.69,100,,66,4.8,,24,25.40,3.3
Terry Rozier,PG,CHA,vs BKN,30th,108.00,7500,16.8,51.8,30.7,4.2,0.95,34.06,10.45,10.01,9.72,24.6,14.4,32.4,33.50,31.82,31.82,100,,67,4.2,Y,36,32.20,4.3
Jonathan Isaac,SF,ORL,@ CLE,10th,107.00,7500,16.1,56.3,34.1,1.5,1.11,39.85,13.27,11.48,11.43,18.7,10.7,30.8,31.00,33.35,33.35,100,,66,4.4,Y,33,29.20,3.9
Tristan Thompson,C,CLE,vs ORL,7th,103.00,7400,17.6,56.4,34.2,2.2,1.09,39.21,9.88,11.08,9.13,19.6,11.4,31.4,33.25,34.22,34.22,100,,68,4.6,Y,32,40.90,5.5
Jamal Murray,PG,DEN,@ BOS,20th,101.25,7400,16.3,57.2,34.6,4.8,1.06,38.09,12.06,11.69,11.22,25.5,15.8,32.7,33.50,33.80,33.80,100,,66,4.6,Y,34,26.10,3.5
Jarrett Allen,PF,BKN,@ CHA,30th,111.00,7300,13,58.3,31.4,1.2,1.18,42.57,12.82,12.95,9.88,15.9,7.0,26.6,27.75,32.44,32.44,100,,59,4.4,Y,22,36.00,4.9
C.J. McCollum,SG,POR,vs LAL,2nd,110.50,7300,19.6,62,36.5,3.8,1.00,35.92,10.84,12.13,11.22,26.2,20.0,36.5,37.25,37.76,37.76,100,,67,5.2,Y,35,28.10,3.8
Blake Griffin,PF,DET,vs IND,10th,105.50,7200,24,40.7,28.8,3.3,1.00,35.99,6.32,4.77,5.62,30.8,14.7,28.8,32.00,31.11,31.11,100,,83,4.3,Y,32,43.10,6
Jaylen Brown,SF,BOS,vs DEN,12th,104.25,7200,19.4,54.3,34.2,1.9,1.02,36.83,9.65,9.97,9.25,23.4,15.1,33.4,34.50,34.36,34.36,100,,71,4.8,Y,33,31.40,4.4
Eric Bledsoe,PG,MIL,vs LAC,15th,118.75,7200,18.9,53.1,31.2,5.6,1.15,41.42,11.06,9.78,8.99,24.1,12.3,27.1,29.25,33.57,33.57,100,,69,4.7,Y,23,22.70,3.2
Richaun Holmes,PF,SAC,@ SAS,24th,105.50,7200,14.7,54.6,29.2,0.9,1.05,37.74,9.26,11.38,7.91,15.5,7.9,27.9,30.75,31.80,31.80,100,,61,4.4,Y,45,52.30,7.3
Evan Fournier,SG,ORL,@ CLE,10th,107.00,7000,19.2,48.9,29.5,3.3,0.96,34.53,9.61,8.49,8.88,25.2,14.1,30.8,33.25,31.89,31.89,100,,71,4.6,Y,29,24.40,3.5
Aaron Gordon,PF,ORL,@ CLE,27th,107.00,7000,14.5,49.7,28.2,2.9,0.92,33.03,9.36,10.08,8.19,20.0,11.7,30.8,31.50,29.58,29.58,100,,64,4.2,Y,31,27.00,3.9
Steven Adams,C,OKC,vs MIN,23rd,110.50,7000,17.5,47,28.3,2.8,1.07,38.58,10.81,8.44,8.56,17.0,7.4,26.4,28.50,30.15,30.15,100,,70,4.3,Y,36,54.20,7.7
Khris Middleton,SG,MIL,vs LAC,21st,118.75,7000,23.6,44.6,29.9,3.2,1.10,39.49,11.41,6.00,9.35,25.3,13.2,27.3,29.50,32.63,32.63,100,,80,4.7,Y,25,33.70,4.8
Marvin Bagley III,PF,SAC,@ SAS,19th,105.50,7000,0,0,31.0,0.0,1.11,39.86,0.00,0.00,0,25.8,16.0,28.0,0.00,0.00,0.00,100,,0,0,,,,
Chris Paul,PG,OKC,vs MIN,25th,110.50,6900,21.5,50.9,32.1,6.0,1.05,37.75,8.68,8.39,7.9,21.0,10.8,30.6,32.75,34.11,34.11,100,,74,4.9,Y,37,51.30,7.4
Danilo Gallinari,SF,OKC,vs MIN,30th,110.50,6800,23,45,29.1,2.2,0.97,35.07,6.79,6.30,6.22,23.7,12.5,29.9,33.00,32.40,32.40,100,,78,4.8,Y,37,41.90,6.2
Lou Williams,SG,LAC,@ MIL,3rd,114.75,6800,19.5,51.7,33.7,6.3,1.08,38.80,10.49,9.19,8.89,29.2,16.0,31.3,30.50,33.27,33.27,100,,73,4.9,,23,11.70,1.7
Larry Nance Jr.,PF,CLE,vs ORL,22nd,103.00,6600,16.8,46.9,25.6,1.5,0.99,35.64,10.02,8.61,8.91,15.6,7.8,25.8,32.00,29.68,29.68,100,,66,4.5,Y,41,21.20,3.2
Draymond Green,PF,GSW,@ CHI,19th,105.00,6600,9.4,45.9,28.0,5.6,1.01,36.57,9.87,10.43,6.99,16.4,7.6,27.6,25.50,25.01,25.01,100,,63,3.8,Y,30,32.30,4.9
Shai Gilgeous-Alexander,SG,OKC,vs MIN,25th,110.50,6600,16.7,53.7,30.7,3.1,0.89,32.14,10.28,10.58,10.14,25.2,15.7,34.4,35.50,32.54,32.54,100,,66,4.9,Y,42,38.00,5.8
Will Barton,SF,DEN,@ BOS,11th,101.25,6500,20.1,47.1,31.3,3.4,0.96,34.62,6.88,7.72,6.55,19.1,12.4,32.5,34.25,31.68,31.68,100,,75,4.9,Y,30,12.60,1.9
Tomas Satoransky,PG,CHI,vs GSW,18th,109.00,6500,13.1,49.6,24.6,5.4,0.91,33.02,11.92,10.43,10.43,16.4,7.7,26.9,31.50,28.75,28.75,100,,58,4.4,Y,32,18.90,2.9
Myles Turner,C,IND,@ DET,21st,106.50,6400,11.5,49.3,27.2,1.0,0.89,31.93,8.76,10.81,7.6,17.2,9.6,30.7,31.25,27.71,27.71,100,,60,4.3,Y,35,27.60,4.3
Eric Paschall,PF,GSW,@ CHI,19th,105.00,6400,11.7,47.8,26.7,1.8,0.84,30.13,8.63,10.30,7.73,21.5,12.5,31.9,32.25,27.17,27.17,100,,61,4.2,Y,31,27.60,4.3
Thomas Bryant,C,WAS,@ MIA,25th,109.75,6300,0,18.7,31.1,2.7,1.10,39.57,9.39,9.34,0,18.4,10.2,28.3,0.00,0.00,0.00,100,,70,0,,,,
Lauri Markkanen,PF,CHI,vs GSW,3rd,109.00,6300,13.6,49.3,26.6,1.7,0.90,32.57,10.64,10.19,9.46,21.6,11.4,29.4,32.00,28.89,28.89,100,,62,4.6,Y,36,31.10,4.9
Markelle Fultz,PG,ORL,@ CLE,24th,107.00,6200,18.1,39.1,23.9,4.0,0.94,33.79,5.54,6.00,4.5,21.6,10.1,25.5,29.25,27.06,27.06,100,,75,4.4,Y,27,17.00,2.7
Jeremy Lamb,SG,IND,@ DET,17th,106.50,6200,21.1,42.9,31.1,2.8,0.95,34.23,6.20,6.22,5.55,20.7,13.0,32.8,32.25,30.44,30.44,100,,80,4.9,Y,34,29.00,4.7
Taurean Prince,SF,BKN,@ CHA,25th,111.00,6100,10.4,50,25.2,2.0,0.83,30.06,10.05,11.30,8.72,20.1,11.9,30.2,31.25,27.36,27.36,100,,55,4.5,Y,32,30.50,5
Marcus Smart,SG,BOS,vs DEN,12th,104.25,6100,13.2,46.5,27.4,4.7,0.86,30.82,9.80,9.54,8.92,17.1,10.9,32.0,32.75,27.46,27.46,100,,65,4.5,Y,28,11.40,1.9
Alec Burks,SF,GSW,@ CHI,14th,105.00,6100,7,46.2,26.8,2.8,0.91,33.02,9.82,11.19,7.23,22.1,12.2,29.3,26.50,23.83,23.83,100,,58,3.9,,30,25.30,4.1
Caris LeVert,SG,BKN,@ CHA,22nd,111.00,6000,0,15.3,27.7,4.0,0.88,31.67,5.18,7.64,0,25.4,15.6,31.4,0.00,0.00,0.00,100,,72,0,,,,
Collin Sexton,PG,CLE,vs ORL,27th,103.00,6000,18.7,40.8,26.7,2.5,0.87,31.45,6.60,6.33,6.1,27.2,15.7,30.6,33.25,28.15,28.15,100,,76,4.7,Y,30,24.10,4
Davis Bertans,PF,WAS,@ MIA,12th,109.75,6000,19.3,47.6,24.7,1.6,0.86,31.04,9.05,8.09,9.05,16.3,10.1,28.6,36.00,31.44,31.44,100,,67,5.2,,33,38.50,6.4
Nemanja Bjelica,PF,SAC,@ SAS,24th,105.50,6000,13.2,45.2,25.5,2.6,0.97,34.86,8.52,9.14,6.63,17.9,8.8,26.4,28.00,26.91,26.91,100,,64,4.5,Y,19,24.30,4.1
Goran Dragic,PG,MIA,vs WAS,22nd,118.75,5900,0,16.7,27.4,5.0,0.95,34.30,8.97,8.33,0,23.9,11.6,28.7,0.00,0.00,0.00,100,,70,0,,,,
Khem Birch,PF,ORL,@ CLE,27th,107.00,5800,5.5,39.8,15.4,1.0,0.71,25.69,10.91,9.81,8.11,8.3,3.3,21.6,26.75,20.19,20.19,100,,36,3.5,Y,31,22.20,3.8
Rui Hachimura,PF,WAS,@ MIA,25th,109.75,5800,18.3,53.6,25.3,1.6,0.88,31.83,10.59,10.09,11.03,20.0,12.2,28.6,37.50,33.41,33.41,100,,60,5.8,Y,39,26.20,4.5
Robert Covington,PF,MIN,@ OKC,15th,107.50,5800,16.7,45.5,26.2,1.2,0.96,34.50,9.07,8.25,7.75,17.7,9.4,27.4,30.75,29.04,29.04,100,,69,5,Y,38,24.40,4.2
Carmelo Anthony,SF,POR,vs LAL,3rd,110.50,5800,14.3,48.8,27.3,1.8,0.88,31.58,9.10,9.84,8.15,24.7,14.5,31.1,32.25,29.08,29.08,100,,64,5,Y,34,25.10,4.3
Derrick Rose,PG,DET,vs IND,11th,105.50,5700,13.5,42.6,27.8,5.8,1.19,42.78,11.68,8.33,7.71,30.5,12.7,23.4,23.75,25.95,25.95,100,,70,4.6,,26,29.70,5.2
Bogdan Bogdanovic,SG,SAC,@ SAS,11th,105.50,5700,7.2,48.6,27.7,4.7,1.00,36.17,11.41,11.83,8.16,24.8,12.7,27.6,25.75,24.97,24.97,100,,57,4.4,,21,15.80,2.8
Garrett Temple,SG,BKN,@ CHA,22nd,111.00,5600,12.3,45,20.8,2.2,0.76,27.56,10.54,9.35,9.52,14.9,8.4,27.2,32.50,26.29,26.29,100,,55,4.7,Y,33,18.40,3.3
Joe Harris,SF,BKN,@ CHA,22nd,111.00,5600,11,44.5,24.1,1.9,0.76,27.41,10.74,9.57,9.47,17.4,11.4,31.7,31.75,25.33,25.33,100,,60,4.5,Y,30,33.70,6
T.J. Warren,SF,IND,@ DET,13th,106.50,5600,9.6,49.5,26.5,1.1,0.80,28.78,10.76,11.41,9.79,21.9,14.4,33.1,32.75,26.68,26.68,100,,57,4.8,Y,30,27.70,4.9
Justise Winslow,SF,MIA,vs WAS,26th,118.75,5600,0,22.7,28.4,4.3,0.84,30.31,8.51,11.35,0,19.4,12.7,33.7,0.00,0.00,0.00,100,,60,0,,,,
Brook Lopez,C,MIL,vs LAC,21st,118.75,5600,10.5,50.2,27.1,1.5,1.02,36.66,12.95,11.35,9.71,16.2,8.6,26.6,27.00,27.54,27.54,100,,58,4.9,Y,25,18.60,3.3
Harrison Barnes,SF,SAC,@ SAS,29th,105.50,5600,16.4,42.5,27.3,2.1,0.78,28.10,5.25,7.46,5.07,18.3,11.6,35.0,34.75,27.62,27.62,100,,73,4.9,Y,43,36.50,6.5
PJ Washington,PF,CHA,vs BKN,2nd,108.00,5500,11.6,42.7,24.6,1.7,0.88,31.78,9.16,8.86,7.32,17.6,9.0,27.9,28.75,24.93,24.93,100,,64,4.5,Y,35,28.50,5.2
Luke Kennard,SF,DET,vs IND,4th,105.50,5500,13.7,42.1,28.0,4.3,0.85,30.47,8.36,8.10,7.14,20.0,12.7,33.1,30.75,25.88,25.88,100,,71,4.7,Y,32,17.20,3.1
Paul Millsap,PF,DEN,@ BOS,15th,101.25,5500,11.1,42.8,26.9,1.4,1.03,36.99,11.96,9.06,8.47,20.6,9.5,26.2,25.50,24.66,24.66,100,,66,4.5,Y,21,11.70,2.1
Jeff Teague,PG,MIN,@ OKC,20th,107.50,5500,15.8,44,27.5,7.4,0.95,34.24,10.26,8.06,8.55,18.5,8.8,28.9,30.00,27.88,27.88,100,,71,5.1,Y,40,53.50,9.7
Dennis Schroder,SG,OKC,vs MIN,25th,110.50,5500,14,51.5,26.4,3.8,0.93,33.36,13.45,10.69,12.14,27.8,13.8,28.5,32.50,30.07,30.07,100,,60,5.5,,39,34.40,6.3
Patrick Beverley,PG,LAC,@ MIL,23rd,114.75,5500,11.1,48.3,24.6,3.3,0.83,29.84,8.89,10.63,7.78,13.0,7.3,29.7,31.50,27.08,27.08,100,,57,4.9,Y,30,13.30,2.4
Rajon Rondo,PG,LAL,@ POR,26th,114.50,5500,9.8,43,23.1,6.1,1.08,38.82,13.40,9.49,8.47,19.2,7.4,21.4,22.75,24.01,24.01,100,,59,4.4,,15,21.10,3.8
DeAndre Jordan,C,BKN,@ CHA,30th,111.00,5400,8.2,44.2,25.2,2.0,1.18,42.56,10.44,10.27,6.09,12.7,4.7,21.3,21.00,23.65,23.65,100,,59,4.4,,26,41.10,7.6
Moritz Wagner,C,WAS,@ MIA,3rd,109.75,5400,18.7,51.9,22.6,1.3,1.14,41.18,14.28,9.48,12,22.7,7.6,19.8,30.25,32.89,32.89,100,,58,6.1,Y,31,35.30,6.5
Miles Bridges,SF,CHA,vs BKN,30th,108.00,5300,10.1,41.6,24.2,1.9,0.79,28.44,9.59,8.99,7.93,18.9,11.0,30.7,29.75,23.57,23.57,100,,63,4.4,Y,22,10.60,2
Isaiah Thomas,PG,WAS,@ MIA,10th,109.75,5200,0,16.9,22.3,5.1,0.90,32.20,12.15,8.47,0,22.7,10.8,24.9,0.00,0.00,0.00,100,,62,0,,,,
Jarrett Culver,SF,MIN,@ OKC,15th,107.50,5200,10.5,43.3,20.1,2.5,0.83,30.05,10.25,9.39,8.33,20.0,9.7,24.1,29.25,24.55,24.55,100,,53,4.7,Y,26,16.20,3.1
Dejounte Murray,PG,SAS,vs SAC,6th,109.50,5200,7.9,43.1,26.1,4.1,1.19,42.72,14.32,10.05,8.25,21.8,8.3,22.0,20.75,22.96,22.96,100,,61,4.4,,32,31.90,6.1
Terrence Ross,SG,ORL,@ CLE,10th,107.00,5100,10.8,33.1,20.2,1.0,0.84,30.28,9.91,6.38,6.61,23.8,10.9,24.0,24.00,20.35,20.35,100,,68,4,,27,27.10,5.3
Kendrick Nunn,PG,MIA,vs WAS,22nd,118.75,5100,19.5,49.4,25.5,3.4,0.87,31.16,7.60,8.55,7.6,24.5,13.8,29.4,36.00,32.29,32.29,100,,66,6.3,Y,30,25.60,5
Otto Porter,SF,CHI,vs GSW,2nd,109.00,5100,0,16.4,20.9,1.6,0.84,30.11,21.50,8.20,0,18.9,9.3,25.0,0.00,0.00,0.00,100,,61,0,,,,
Jakob Poeltl,C,SAS,vs SAC,20th,109.50,5100,8.6,41.6,20.4,1.5,1.08,38.77,12.01,9.44,7.26,13.6,4.4,18.9,21.75,22.73,22.73,100,,54,4.5,,18,27.10,5.3
Coby White,PG,CHI,vs GSW,9th,109.00,5000,5.9,41.7,20.8,2.1,0.83,30.07,11.31,10.23,8.01,24.1,12.4,25.0,25.50,21.24,21.24,100,,51,4.2,,19,20.60,4.1
Kris Dunn,PG,CHI,vs GSW,9th,109.00,5000,13.2,42.4,20.3,3.1,0.96,34.61,13.02,8.36,9.95,15.9,6.5,21.1,27.50,25.70,25.70,100,,59,5.1,Y,29,26.30,5.3
Cory Joseph,PG,SAC,@ SAS,19th,105.50,5000,9,39.5,17.5,4.2,0.70,25.19,10.45,8.72,8.85,15.4,6.2,25.1,30.50,22.09,22.09,100,,50,4.4,Y,38,10.70,2.1
Rudy Gay,SF,SAS,vs SAC,21st,109.50,4900,13.5,37.4,22.8,1.9,0.98,35.30,9.87,6.83,6.79,21.4,9.1,23.2,24.75,23.75,23.75,100,,70,4.8,Y,21,19.20,3.9
Bismack Biyombo,C,CHA,vs BKN,27th,108.00,4800,4.4,42.5,16.7,0.9,0.99,35.92,15.79,10.89,9.54,17.8,5.1,16.8,21.75,20.73,20.73,100,,35,4.3,Y,14,7.30,1.5
Cedi Osman,SF,CLE,vs ORL,22nd,103.00,4800,10.2,37.5,19.6,2.1,0.65,23.55,8.31,7.79,7.68,14.9,8.4,30.0,33.25,21.90,21.90,100,,60,4.6,Y,32,39.00,8.1
Mohamed Bamba,C,ORL,@ CLE,26th,107.00,4800,3,35.8,16.3,0.5,1.06,38.08,17.83,9.37,8.42,19.5,5.3,15.4,17.00,17.08,17.08,100,,43,3.6,,17,14.20,3
D.J. Augustin,PG,ORL,@ CLE,24th,107.00,4800,10.4,32.7,19.9,4.6,0.77,27.98,7.70,6.36,5.4,18.1,8.2,25.7,25.25,19.93,19.93,100,,68,4.2,,26,30.10,6.3
Willie Cauley-Stein,C,GSW,@ CHI,29th,105.00,4800,12,31.9,23.5,1.6,1.06,38.22,11.11,5.68,6.33,15.5,6.2,22.2,20.50,20.51,20.51,100,,76,4.3,Y,24,23.40,4.9
Nerlens Noel,PF,OKC,vs MIN,5th,110.50,4800,10.2,43.9,22.3,1.4,1.20,43.17,10.14,9.62,6.2,15.7,4.7,18.6,22.00,24.65,24.65,100,,57,5.1,,17,12.10,2.5
Kelly Olynyk,C,MIA,vs WAS,19th,118.75,4700,10.1,43.1,20.5,1.5,0.87,31.42,14.10,9.42,10.58,15.9,6.8,23.5,27.00,24.22,24.22,100,,54,5.2,,17,11.60,2.5
Dwight Howard,C,LAL,@ POR,14th,114.50,4700,7.4,36.7,21.2,0.8,1.08,38.62,13.06,8.35,6.89,13.2,3.8,19.7,19.00,19.95,19.95,100,,61,4.2,,21,21.00,4.5
Darius Garland,PG,CLE,vs ORL,27th,103.00,4600,8.4,32.9,16.8,3.0,0.60,21.48,7.02,6.99,6,21.2,10.7,28.2,30.75,18.90,18.90,100,,58,4.1,Y,30,14.50,3.2
Daniel Theis,PF,BOS,vs DEN,22nd,104.25,4600,6.3,39,22.4,1.3,1.02,36.64,8.03,9.34,4.8,13.8,5.3,22.0,21.50,20.35,20.35,100,,58,4.4,Y,15,12.20,2.7
Gary Harris,SG,DEN,@ BOS,20th,101.25,4600,9.7,39.5,20.8,1.7,0.66,23.62,7.55,8.49,7.03,15.2,9.7,31.7,33.50,22.48,22.48,100,,59,4.9,Y,33,15.60,3.4
Jordan Clarkson,SG,CLE,vs ORL,13th,103.00,4500,7.1,37,21.6,2.5,0.96,34.62,10.25,8.53,6.34,26.7,10.9,22.5,22.25,19.91,19.91,100,,61,4.4,,21,10.20,2.3
Reggie Jackson,PG,DET,vs IND,11th,105.50,4500,0,1.6,13.5,4.0,0.77,27.77,5.73,0.80,0,16.9,5.5,17.5,0.00,0.00,0.00,100,,0,0,,,,
Ky Bowman,PG,GSW,@ CHI,1st,105.00,4500,0,42.6,18.5,2.7,0.78,28.11,13.63,12.58,8.42,16.9,7.9,23.7,22.25,17.43,17.43,100,,32,3.9,,21,16.00,3.6
Kevon Looney,C,GSW,@ CHI,19th,105.00,4500,8.1,15.1,11.9,0.7,0.97,34.83,11.81,2.00,4.35,22.6,5.0,12.3,13.25,11.09,11.09,100,,83,2.5,,8,2.20,0.5
Glenn Robinson III,SF,GSW,@ CHI,18th,105.00,4500,9.3,39,22.2,1.9,0.70,25.06,8.22,8.49,7.08,15.5,10.2,31.9,31.00,22.01,22.01,100,,62,4.9,Y,34,32.40,7.2
JaMychal Green,PF,LAC,@ MIL,30th,114.75,4500,0,17.1,18.6,0.5,0.84,30.24,10.27,8.55,0,14.2,6.3,22.1,0.00,0.00,0.00,100,,54,0,,,,
Derrick White,PG,SAS,vs SAC,6th,109.50,4500,8.2,34.7,19.7,3.0,0.82,29.37,8.62,7.57,5.81,16.8,7.5,24.1,24.25,19.60,19.60,100,,62,4.4,Y,21,3.70,0.8
Kyle Kuzma,PF,LAL,@ POR,17th,114.50,4400,6.4,35.6,16.9,0.8,0.74,26.82,9.17,8.34,6.18,22.7,9.3,22.7,24.25,18.88,18.88,100,,51,4.3,,24,21.70,4.9
JaVale McGee,C,LAL,@ POR,14th,114.50,4400,1.6,41.8,20.3,0.7,1.22,44.04,16.60,11.48,7.38,16.8,5.3,16.6,16.00,18.81,18.81,100,,43,4.3,Y,15,22.60,5.1
Malik Monk,SG,CHA,vs BKN,30th,108.00,4300,1.8,34.1,16.6,2.3,0.79,28.46,13.05,9.21,7.25,21.5,8.3,21.0,20.00,15.63,15.63,100,,45,3.6,,17,11.70,2.7
Ishmael Smith,PG,WAS,@ MIA,10th,109.75,4300,12.9,47.4,20.5,4.2,0.86,30.95,11.51,9.83,10.47,16.4,8.1,23.9,32.75,27.69,27.69,100,,52,6.4,Y,32,31.40,7.3
