Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Mitch Trubisky,2,,QB,7200,CHI,NYG,23.8,CHI by 5.5,8%,3%,16%,36.0,36.0,34.4,11.0,6.7,3.0,3.0,4.3,1.0,8.7,0.0,0.0,0.0,0.0,0.0,61,24.3,24.3,24.3,24.3,24.3,17.0,2.4,15.2,2.1
Cooper Kupp,3,,WR,7200,LAR,@PHI,23.3,LAR by 1,-2%,-18%,14%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.5,1.0,8.0,12,6.0,6.0,6.0,6.0,6.0,11.7,1.6,10.5,1.5
Matthew Stafford,0,,QB,7200,DET,@GB,21.5,GB by 6.5,1%,11%,-14%,42.0,42.0,36.3,7.0,7.1,5.0,5.0,1.9,0.0,4.6,0.0,0.0,0.0,0.0,0.0,59,17.2,17.2,17.2,17.2,17.2,17.0,2.4,17.2,2.4
David Johnson,2,,RB,7200,HOU,BAL,22.0,BAL by 7,-11%,-12%,-15%,0.0,0.0,0.0,0.0,0.0,11.0,11.0,14.5,1.0,7.0,4.0,4.0,4.4,0.0,8.0,32,18.4,18.4,18.4,18.4,18.4,13.6,1.9,6.0,0.8
Calvin Ridley,12,,WR,7100,ATL,@DAL,24.0,DAL by 4.5,-6%,-9%,-11%,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,1.0,-1.0,12.0,12.0,9.3,3.0,10.8,15,29.4,29.4,29.4,29.4,29.4,13.9,2.0,26.4,3.7
JuJu Smith,1,,WR,7100,PIT,DEN,24.5,PIT by 7.5,-4%,0%,-10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.1,2.0,11.5,13,21.9,21.9,21.9,21.9,21.9,12.6,1.8,8.3,1.2
Jimmy Garoppolo,0,Q,QB,7100,SF,@NYJ,24.5,SF by 7,3%,-25%,2%,33.0,33.0,31.9,7.0,7.8,1.0,1.0,1.8,0.0,9.0,0.0,0.0,0.0,0.0,0.0,53,19.3,19.3,19.3,19.3,19.3,15.3,2.2,13.2,1.9
Philip Rivers,2,,QB,7100,IND,MIN,25.8,IND by 3,3%,0%,-11%,46.0,46.0,34.4,7.0,7.9,1.0,1.0,0.6,0.0,3.0,0.0,0.0,0.0,0.0,0.0,57,16.8,16.8,16.8,16.8,16.8,16.1,2.3,11.9,1.7
Ryan Tannehill,0,,QB,7000,TEN,JAX,25.8,TEN by 9,1%,21%,-1%,43.0,43.0,30.9,6.0,5.8,3.0,3.0,3.6,0.0,4.7,0.0,0.0,0.0,0.0,0.0,59,19.4,19.4,19.4,19.4,19.4,17.0,2.4,26.8,3.8
Allen Robinson,10,,WR,7000,CHI,NYG,23.8,CHI by 5.5,8%,3%,15%,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.0,-1.0,9.0,9.0,9.1,2.0,8.2,15,9.8,9.8,9.8,9.8,9.8,12.9,1.8,4.8,0.7
Amari Cooper,16,,WR,7000,DAL,ATL,28.5,DAL by 4.5,10%,-7%,7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,7.6,2.0,5.8,11,13.1,13.1,13.1,13.1,13.1,13.4,1.9,13.0,1.9
Gardner Minshew,3,,QB,7000,JAX,@TEN,16.8,TEN by 9,9%,-8%,3%,20.0,20.0,34.0,2.0,8.7,5.0,5.0,4.2,0.0,3.8,0.0,0.0,0.0,0.0,0.0,64,20.8,20.8,20.8,20.8,20.8,16.1,2.3,25.5,3.6
Todd Gurley,0,,RB,7000,ATL,@DAL,24.0,DAL by 4.5,-6%,-9%,-4%,0.0,0.0,0.0,0.0,0.0,14.0,14.0,15.3,5.0,4.0,5.0,5.0,3.5,0.0,0.2,29,12.7,12.7,12.7,12.7,12.7,12.3,1.8,6.1,0.9
Keenan Allen,0,,WR,6900,LAC,KC,19.3,KC by 9,-8%,15%,-29%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,8.0,8.0,8.2,1.0,4.6,14,5.7,5.7,5.7,5.7,5.7,10.7,1.6,13.1,1.9
Austin Ekeler,11,,RB,6900,LAC,KC,19.3,KC by 9,-8%,15%,21%,0.0,0.0,0.0,0.0,0.0,19.0,19.0,11.4,3.0,4.4,1.0,1.0,5.4,0.0,3.0,28,9.2,9.2,9.2,9.2,9.2,15.6,2.3,16.8,2.4
Teddy Bridgewater,0,,QB,6900,CAR,@TB,19.3,TB by 9,17%,-36%,16%,34.0,34.0,35.3,2.0,7.9,4.0,4.0,3.0,2.0,6.5,0.0,0.0,0.0,0.0,0.0,61,19.4,19.4,19.4,19.4,19.4,15.7,2.3,10.7,1.6
Courtland Sutton,,O,WR,6900,DEN,@PIT,17.0,PIT by 7.5,-19%,-7%,-17%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,6.8,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,1.2
Daniel Jones,0,,QB,6900,NYG,@CHI,18.3,CHI by 5.5,-2%,-5%,-17%,41.0,41.0,34.8,10.0,6.8,4.0,4.0,4.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,64,19.4,19.4,19.4,19.4,19.4,15.7,2.3,8.7,1.3
