Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Andy Greene,,,D,3500,NJ,ANH,3,D2,,,20.4,19.8,19.8,1.2,0.9,0.9,7.4,6.5,6.5,1.5,11.4,7.7,2.2,6.4,1.8
Mirco Mueller,,,D,3500,NJ,ANH,3,,,,15.7,15.4,15.4,0.4,0.5,0.5,5.0,3.5,3.5,0.2,6.8,0.0,0.0,4.8,1.4
Erik Gudbranson,,,D,3500,ANH,@NJ,0,D2,,,19.7,18.9,18.9,1.8,1.4,1.4,7.2,5.5,5.5,-0.6,11.6,5.4,1.5,3.2,0.9
Korbinian Holzer,,,D,3500,ANH,@NJ,0,D3,,,15.9,17.2,17.2,0.6,0.9,0.9,3.2,5.2,5.2,1.4,9.0,4.8,1.4,6.4,1.8
Brian Strait,,,D,3500,NJ,ANH,n/a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pierre-Edouard Bellemare,,,C,3400,COL,@CHI,1,L3,,3.07,14.5,13.5,13.5,0.4,0.9,0.9,5.4,5.7,5.7,-2.0,13.3,5.2,1.5,4.8,1.4
Alexander Nylander,,,W,3400,CHI,COL,2,L2,P2,2.69,11.9,12.7,12.7,0.8,1.5,1.5,4.9,6.3,6.3,-0.8,13.4,5.9,1.7,1.6,0.5
MacKenzie MacEachern,,,W,3400,STL,EDM,1,,,,9.3,9.1,9.1,1.8,1.2,1.2,5.6,5.1,5.1,-0.9,11.0,0.0,0.0,15.2,4.5
Nick Ritchie,,,W,3400,ANH,@NJ,11,,,,12.1,13.9,13.9,0.6,1.8,1.8,2.9,6.9,6.9,1.3,12.4,0.0,0.0,0.0,0.0
Alexander Steen,,,W,3300,STL,EDM,1,L3,,,13.3,14.0,14.0,1.0,1.3,1.3,4.2,6.0,6.0,1.9,10.1,7.4,2.2,4.8,1.5
Tyson Jost,,,W,3300,COL,@CHI,1,L4,,3.07,11.1,13.0,13.0,1.6,1.9,1.9,3.2,6.5,6.5,-1.6,14.7,8.0,2.4,1.6,0.5
Gaetan Haas,,,C,3300,EDM,@STL,1,L4,P2,,11.0,9.7,9.7,1.2,0.9,0.9,6.7,4.8,4.8,-0.1,9.7,5.6,1.7,1.6,0.5
Josh Archibald,,,W,3300,EDM,@STL,1,L4,,,11.4,12.6,12.6,1.6,1.1,1.1,3.5,3.1,3.1,0.0,6.1,6.4,1.9,0.0,0.0
Jujhar Khaira,,,W,3300,EDM,@STL,1,L3,,,13.7,13.3,13.3,1.4,1.2,1.2,2.9,4.7,4.7,-2.4,11.7,6.2,1.9,4.8,1.5
Kirby Dach,,,C,3300,CHI,COL,2,L4,P2,2.69,12.0,12.1,12.1,1.0,1.4,1.4,2.2,6.2,6.2,-1.2,13.7,6.2,1.9,3.2,1.0
Zachary Sanford,,Q,W,3300,STL,EDM,1,L2,,,12.6,12.5,12.5,1.4,1.2,1.2,4.5,6.0,6.0,-2.8,14.8,6.4,1.9,0.0,0.0
Pavel Zacha,,,C,3300,NJ,ANH,3,L3,,,16.6,15.1,15.1,0.8,1.2,1.2,5.4,6.5,6.5,-0.2,13.1,7.9,2.4,1.6,0.5
Miles Wood,,,W,3300,NJ,ANH,3,L4,,,11.4,12.0,12.0,2.2,1.9,1.9,7.0,6.1,6.1,0.0,12.2,9.1,2.8,0.0,0.0
Devin Shore,,,W,3300,ANH,@NJ,0,,,,13.5,12.6,12.6,2.2,1.4,1.4,7.2,4.9,4.9,-0.2,9.9,0.0,0.0,0.0,0.0
Maxime Comtois,,,W,3200,ANH,@NJ,0,L3,P2,,13.9,14.2,14.2,1.4,1.2,1.2,4.3,5.5,5.5,1.0,10.0,4.2,1.3,3.2,1.0
Nicolas Deslauriers,,,W,3200,ANH,@NJ,0,L4,,,7.8,9.9,9.9,1.2,0.9,0.9,2.2,3.7,3.7,-0.7,8.1,3.5,1.1,3.2,1.0
Jacob De La Rose,,,W,3100,STL,EDM,1,L4,,,10.8,11.3,11.3,1.2,1.0,1.0,6.2,4.2,4.2,-1.3,9.7,4.8,1.5,1.6,0.5
