"C","C","W","W","D","D","UTIL","UTIL","G","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","54733-58975:Maxime Lagace","54733-58975","G","Maxime","Maxime Lagace","Lagace","0","0","6500","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-8883:Ben Bishop","54733-8883","G","Ben","Ben Bishop","Bishop","18.23636419122869","44","6500","NSH@DAL","DAL","NSH","O","Knee","","",""
"","","","","","","","","","","54733-97029:Ukko-Pekka Luukkonen","54733-97029","G","Ukko-Pekka","Ukko-Pekka Luukkonen","Luukkonen","0","0","6500","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-54028:Pheonix Copley","54733-54028","G","Pheonix","Pheonix Copley","Copley","0","0","6500","WSH@PIT","WSH","PIT","","","","",""
"","","","","","","","","","","54733-42800:Zach Fucale","54733-42800","G","Zach","Zach Fucale","Fucale","0","0","6500","WSH@PIT","WSH","PIT","","","","",""
"","","","","","","","","","","54733-97093:Logan Thompson","54733-97093","G","Logan","Logan Thompson","Thompson","0","0","6500","COL@VGK","VGK","COL","","","","",""
"","","","","","","","","","","54733-14183:Keith Kinkaid","54733-14183","G","Keith","Keith Kinkaid","Kinkaid","8.40000025431315","6","6500","NJ@NYR","NYR","NJ","","","","",""
"","","","","","","","","","","54733-97161:Jacob Ingham","54733-97161","G","Jacob","Jacob Ingham","Ingham","0","0","6500","MIN@LA","LA","MIN","","","","",""
"","","","","","","","","","","54733-146375:Devin Cooley","54733-146375","G","Devin","Devin Cooley","Cooley","0","0","6500","NSH@DAL","NSH","DAL","","","","",""
"","","","","","","","","","","54733-97231:Jakub Skarek","54733-97231","G","Jakub","Jakub Skarek","Skarek","0","0","6500","NYI@BUF","NYI","BUF","","","","",""
"","","","","","","","","","","54733-104427:Adam Werner","54733-104427","G","Adam","Adam Werner","Werner","17.200000762939453","2","6500","COL@VGK","COL","VGK","","","","",""
"","","","","","","","","","","54733-21546:Alexander Radulov","54733-21546","W","Alexander","Alexander Radulov","Radulov","16.075000762939453","8","6400","NSH@DAL","DAL","NSH","IR","Lower body","","",""
"","","","","","","","","","","54733-14697:Gabriel Landeskog","54733-14697","W","Gabriel","Gabriel Landeskog","Landeskog","12.48181845925071","11","6400","COL@VGK","COL","VGK","O","Covid-19","","",""
"","","","","","","","","","","54733-8651:Alex Pietrangelo","54733-8651","D","Alex","Alex Pietrangelo","Pietrangelo","12.13000030517578","10","6400","COL@VGK","VGK","COL","","","","",""
"","","","","","","","","","","54733-103523:Cale Makar","54733-103523","D","Cale","Cale Makar","Makar","13.87272782759233","11","6300","COL@VGK","COL","VGK","DTD","Upper body","","",""
"","","","","","","","","","","54733-54477:Bryan Rust","54733-54477","W","Bryan","Bryan Rust","Rust","16.669230534480167","13","6300","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-8741:Nazem Kadri","54733-8741","C","Nazem","Nazem Kadri","Kadri","10.458333333333334","12","6300","COL@VGK","COL","VGK","","","","",""
"","","","","","","","","","","54733-43093:Shea Theodore","54733-43093","D","Shea","Shea Theodore","Theodore","16.339999389648437","10","6200","COL@VGK","VGK","COL","","","","",""
"","","","","","","","","","","54733-37968:Jonathan Marchessault","54733-37968","W","Jonathan","Jonathan Audy-Marchessault","Marchessault","11.73076923076923","13","6100","COL@VGK","VGK","COL","","","","",""
"","","","","","","","","","","54733-9025:Jordan Eberle","54733-9025","W","Jordan","Jordan Eberle","Eberle","12.450000217982701","14","6100","NYI@BUF","NYI","BUF","","","","",""
"","","","","","","","","","","54733-14565:Mika Zibanejad","54733-14565","C","Mika","Mika Zibanejad","Zibanejad","7.853846036470854","13","6000","NJ@NYR","NYR","NJ","","","","",""
"","","","","","","","","","","54733-8478:Zach Parise","54733-8478","W","Zach","Zach Parise","Parise","9.98181845925071","11","6000","MIN@LA","MIN","LA","","","","",""
"","","","","","","","","","","54733-8402:Dustin Brown","54733-8402","W","Dustin","Dustin Brown","Brown","13.069230299729567","13","5900","MIN@LA","LA","MIN","","","","",""
"","","","","","","","","","","54733-8406:Drew Doughty","54733-8406","D","Drew","Drew Doughty","Doughty","13.415384145883413","13","5900","MIN@LA","LA","MIN","","","","",""
"","","","","","","","","","","54733-8608:Kris Letang","54733-8608","D","Kris","Kris Letang","Letang","10.34999974568685","12","5900","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-21927:Chris Kreider","54733-21927","W","Chris","Chris Kreider","Kreider","8.446154080904448","13","5900","NJ@NYR","NYR","NJ","","","","",""
"","","","","","","","","","","54733-8635:T.J. Oshie","54733-8635","W","T.J.","T.J. Oshie","Oshie","9.191666920979818","12","5800","WSH@PIT","WSH","PIT","","","","",""
"","","","","","","","","","","54733-59208:Kevin Fiala","54733-59208","W","Kevin","Kevin Fiala","Fiala","11.362500190734863","8","5700","MIN@LA","MIN","LA","","","","",""
"","","","","","","","","","","54733-12644:Kyle Palmieri","54733-12644","W","Kyle","Kyle Palmieri","Palmieri","8.524999618530273","8","5600","NJ@NYR","NJ","NYR","","","","",""
"","","","","","","","","","","54733-70511:Denis Gurianov","54733-70511","W","Denis","Denis Gurianov","Gurianov","13.675000508626303","12","5600","NSH@DAL","DAL","NSH","","","","",""
"","","","","","","","","","","54733-8234:Eric Staal","54733-8234","C","Eric","Eric Staal","Staal","8.163636641068893","11","5300","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-21686:Jason Zucker","54733-21686","W","Jason","Jason Zucker","Zucker","7.1999998826247","13","5300","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-59207:Viktor Arvidsson","54733-59207","W","Viktor","Viktor Arvidsson","Arvidsson","10.626666259765624","15","5300","NSH@DAL","NSH","DAL","","","","",""
"","","","","","","","","","","54733-42833:Andre Burakovsky","54733-42833","W","Andre","Andre Burakovsky","Burakovsky","12.100000169542101","9","5300","COL@VGK","COL","VGK","","","","",""
"","","","","","","","","","","54733-79935:Alex Iafallo","54733-79935","W","Alex","Alex Iafallo","Iafallo","12.115384615384615","13","5200","MIN@LA","LA","MIN","","","","",""
"","","","","","","","","","","54733-55375:Sam Reinhart","54733-55375","W","Sam","Sam Reinhart","Reinhart","12.222222222222221","9","5200","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-8275:Matt Duchene","54733-8275","C","Matt","Matt Duchene","Duchene","8.686666870117188","15","5200","NSH@DAL","NSH","DAL","","","","",""
"","","","","","","","","","","54733-12592:Ryan Johansen","54733-12592","C","Ryan","Ryan Johansen","Johansen","6.44000015258789","10","5200","NSH@DAL","NSH","DAL","IR","Upper body","","",""
"","","","","","","","","","","54733-70513:Pavel Buchnevich","54733-70513","W","Pavel","Pavel Buchnevich","Buchnevich","10.353846623347355","13","5200","NJ@NYR","NYR","NJ","","","","",""
"","","","","","","","","","","54733-9083:Ryan Ellis","54733-9083","D","Ryan","Ryan Ellis","Ellis","11.513333129882813","15","5200","NSH@DAL","NSH","DAL","","","","",""
"","","","","","","","","","","54733-39990:William Karlsson","54733-39990","C","William","William Karlsson","Karlsson","9.615384615384615","13","5100","COL@VGK","VGK","COL","","","","",""
"","","","","","","","","","","54733-73909:Samuel Girard","54733-73909","D","Samuel","Samuel Girard","Girard","10.918181679465555","11","5100","COL@VGK","COL","VGK","O","Covid-19","","",""
"","","","","","","","","","","54733-73949:Joel Eriksson Ek","54733-73949","C","Joel","Joel Eriksson Ek","Eriksson Ek","13.5","11","5100","MIN@LA","MIN","LA","","","","",""
"","","","","","","","","","","54733-80286:Roope Hintz","54733-80286","C","Roope","Roope Hintz","Hintz","14.110000610351562","10","5000","NSH@DAL","DAL","NSH","DTD","Undisclosed","","",""
"","","","","","","","","","","54733-23041:Mikael Granlund","54733-23041","W","Mikael","Mikael Granlund","Granlund","10.641666412353516","12","5000","NSH@DAL","NSH","DAL","","","","",""
"","","","","","","","","","","54733-15280:Brandon Saad","54733-15280","W","Brandon","Brandon Saad","Saad","9.308333079020182","12","4900","COL@VGK","COL","VGK","","","","",""
"","","","","","","","","","","54733-82174:Miro Heiskanen","54733-82174","D","Miro","Miro Heiskanen","Heiskanen","8.391666412353516","12","4800","NSH@DAL","DAL","NSH","","","","",""
